adresse,lat,lon
"3 Bis Rue Des Cloutiers, 17000 La Rochelle, France",45.75288,-0.6305
"4 Quai Duperré, 17000 La Rochelle, France",45.74736,-0.6339
"51 Quai Valin, 17000 La Rochelle, France",45.74904,-0.6324
"13 Rue Saint-Yon, 17000 La Rochelle, France",45.7536,-0.6252
"61 Rue Du Lignon, 17000 La Rochelle, France",45.75136,-0.6339
"La, 32 Rue Gambetta, 17000 La Rochelle, France",45.752,-0.6335
"Dite Chef Luc, 6 Rue Hélène Nebout, 17000 La Rochelle, France",45.74912,-0.6292
"29 Rue Gambetta, 17000 La Rochelle, France",45.74768,-0.6298
"19 Rue Du Minage, 17000 La Rochelle, France",45.74968,-0.6322
"62 Rue Chaudrier, 17000 La Rochelle, France",45.74896,-0.6291
"11 Rue Pas Du Minage, 17000 La Rochelle, France",45.74752,-0.6281
"Place Olof Palme Saint Eloi, 17000 La Rochelle, France",45.7464,-0.6271
"21 Rue Saint-Yon, 17000 La Rochelle, France",45.74632,-0.6341
"45 Av. De La Prte Royale, 17000 La Rochelle, France",45.748,-0.6284
"2 Rue De Dompierre, 17000 La Rochelle, France",45.7524,-0.6277
"31 Rue Emile Normandin, 17000 La Rochelle, France",45.75152,-0.6341
"6 Rue Amelot, 17000 La Rochelle, France",45.7508,-0.6276
"19 Quai Valin, 17000 La Rochelle, France",45.75256,-0.6316
"1 Pl. Centrale, 65140 Rabastens-De-Bigorre, France",43.09616,0.1542
"2 Av. De La Gare, 65140 Rabastens-De-Bigorre, France",43.09968,0.1538
"15B Bd Du Général De Lattre De Tassigny, 65000 Tarbes, France",43.23266,0.0672
"2 Pl. De Verdun, 65500 Vic-En-Bigorre, France",42.95096,0.1489
"19 Bd D'Alsace, 65500 Vic-En-Bigorre, France",42.9524,0.1459
"190 Pl. De La Libération, 65700 Maubourguet, France",43.1055,0.0928
"Rue Paul Langevin, 65000 Tarbes, France",43.2341,0.0678
"7 Av. Du Régiment De Bigorre, 65000 Tarbes, France",43.2341,0.0703
"2 Av. François Mitterrand, 65600 Séméac, France",43.12814,0.086
"9 Pl. De L'Hôtel De Ville, 32230 Marciac, France",43.76798,0.8191
"130 Rte De Monfaucon, 65140 Ansost, France",43.09608,0.1496
"6 Quai De L'Adour, 65000 Tarbes, France",43.23402,0.0664
"4 Route Du Moulin, 65140 Lescurry, France",43.09992,0.1465
"2 Rue De Gonnes, 65000 Tarbes, France",43.23418,0.07
"5 Pl. Jean Jaurès, 65000 Tarbes, France",43.23554,0.0629
"Rue Des Peupliers, 65800 Aureilhan, France",43.08292,0.1462
"1 Pl. De Verdun, 65000 Tarbes, France",43.23498,0.0667
"16 Av. De La Marne, 65000 Tarbes, France",43.23698,0.0661
"4 Pl. De Verdun, 65000 Tarbes, France",43.23074,0.0629
"Mairie De Vic-En-Bigorre, 65500 Vic-En-Bigorre, France",42.94888,0.1512
"6 Av. De La République, 33380 Mios, France",44.81304,-0.6822
"1 Av. Du Val De L'Eyre, 33380 Mios, France",44.81176,-0.6809
"Rue Rosa Parks, 33380 Mios, France",44.81008,-0.6803
"39C Av. De La Libération, 33380 Biganos, France",44.81064,-0.6751
"Pl. Saint-Pierre, 33770 Salles, France",44.6696,-0.9461
"4 Rue Simone Veil, 33380 Mios, France",44.81264,-0.6759
"86 Av. De La Libération, 33380 Biganos, France",44.8124,-0.6772
"1 Pl. De La Mairie, 33770 Salles, France",44.67144,-0.9511
"7 Rue Du Port, 33260 La Teste-De-Buch, France",44.8206,-0.4553
"34 Rte Des Lacs, 33380 Biganos, France",44.80752,-0.6841
"1 Av. Jean Sébastien Bach, 33510 Andernos-Les-Bains, France",44.7936,-0.2977
"2 Rte De La Môle, 33770 Salles, France",44.66904,-0.947
"11 Av. De La Libération, 33380 Biganos, France",44.81288,-0.6843
"All. Des Cassiots, 33380 Biganos, France",44.812,-0.6772
"Rue Niki De St Phalle, 33380 Mios, France",44.8096,-0.6805
"10 Place Du 8 Mai 1945, 33380 Mios, France",44.8128,-0.6761
"70 Av. De La Libération, 33380 Biganos, France",44.8116,-0.6824
"62 Bis Av. De La Côte D'Argent, 33470 Le Teich, France",44.63104,-0.6004
"39 Rue Armand Sully Prudhomme, 33980 Audenge, France",44.71376,-0.6693
"Résid Saint Yves, 1 Rue Du Port, 33980 Audenge, France",44.70672,-0.6711
"125 Bd De L'Europe, 64230 Lescar, France",43.35464,-0.4834
"18 Bd Des Pyrénées, 64000 Pau, France",43.44674,-0.5547
"7 Rue Henri Iv, 64000 Pau, France",43.44906,-0.5494
"45 Rue Maréchal Joffre, 64000 Pau, France",43.44834,-0.5544
"64230 Lescar, France",43.3564,-0.4899
"Actiparc Nord-Ouest, Rue Du Pressoir, 64140 Billère, France",43.40814,-0.552
"4 Av. Didier Daurat, 64000 Pau, France",43.44546,-0.5502
"Espace Osmose, 23 Av. Des Frères Montgolfier, 64140 Lons, France",43.40966,-0.559
"1 Pl. De La Libération, 64000 Pau, France",43.4493,-0.5523
"Centre D'Affaires Du Lescourre, 1 Rue De Satao, 64230 Lescar, France",43.35776,-0.4883
"13 Av. Du Général De Gaulle, 64000 Pau, France",43.4473,-0.5557
"74 Bd Charles De Gaulle, 64140 Lons, France",43.41166,-0.556
"21 Rue Georges Clemenceau, 64320 Bizanos, France",43.43466,-0.5144
"20 Rue Louis Barthou, 64000 Pau, France",43.44674,-0.549
"17 All. Campagnolle Marcel, 64140 Lons, France",43.4095,-0.5584
"23 Rue Sainte-Catherine, 64230 Lescar, France",43.36024,-0.4919
"52 Av. Jean Mermoz, 64000 Pau, France",43.44626,-0.5559
"2 Rue Maubec, 64230 Lescar, France",43.35416,-0.4882
"…, 64230 Lescar, France",43.35864,-0.4849
"2 Rue Des Jacobins, 17400 Saint-Jean-D'Angély, France",45.51736,-0.8654
"20 Rue Grosse Horloge, 17400 Saint-Jean-D'Angély, France",45.51952,-0.867
"17400 Saint-Jean-D'Angély, France",45.52024,-0.8675
"11 Rue Gambetta, 17400 Saint-Jean-D'Angély, France",45.51672,-0.8747
"Rue Gambetta, 17400 Saint-Jean-D'Angély, France",45.51664,-0.8728
"Place De La Mairie, 17400 Saint-Jean-D'Angély, France",45.51888,-0.8671
"47 Rue Gambetta, 17400 Saint-Jean-D'Angély, France",45.51768,-0.8696
"18 Pl. Du Marché, 17400 Saint-Jean-D'Angély, France",45.51896,-0.8671
"2 Bis Rue De L'Abbaye, 17400 Saint-Jean-D'Angély, France",45.52256,-0.8728
"Rue Des Nauds, 17400 Courcelles, France",45.52144,-0.8728
"Bourdérat, 17770 Écoyeux, France",45.91856,-0.552
"10 Rue Des Palombes, 17400 Essouvert, France",45.52104,-0.8706
"Rue De La Touzetterie, 17400 Asnières-La-Giraud, France",45.51952,-0.8697
"111 Av. Gambetta, 17100 Saintes, France",45.7284,-0.6157
"1 Rue Du Vallon, 17430 Saint-Coutant-Le-Grand, France",45.55192,-0.9494
"35 Rue De Verdun, 17400 Saint-Jean-D'Angély, France",45.5196,-0.8681
"15 Cr National, 17100 Saintes, France",45.7284,-0.6157
"2 Av. Du Parc, 19130 Objat, France",45.15264,1.5349
"3 Av. Henri De Jouvenel, 19130 Objat, France",45.15048,1.5358
"29 Av. Jean Lascaux, 19130 Objat, France",45.15048,1.5313
"57 Av. Raymond Poincaré, 19130 Objat, France",45.14896,1.5367
"109 Av. Turgot, 19100 Brive-La-Gaillarde, France",45.14968,1.5361
"6 Bd Jules Ferry, 19100 Brive-La-Gaillarde, France",45.15384,1.5311
"3 Pl. De La Mairie, 19270 Donzenac, France",45.41606,1.9314
"19 Bd Mirabeau, 19100 Brive-La-Gaillarde, France",45.15,1.5326
"25 Gd Rue Alexis Jaubert, 19600 Larche, France",45.16934,2.4213
"2 Av. Du 14 Juillet, 19100 Brive-La-Gaillarde, France",45.1468,1.5381
"8 Av. Du Dr Paul Soufron, 19600 Larche, France",45.16758,2.4119
"13 Rue Gambetta, 19100 Brive-La-Gaillarde, France",45.148,1.5358
"6 Rue Des Troncs, 19270 Donzenac, France",45.42046,1.9368
"32 Rue De Lestrade, 19600 Saint-Pantaléon-De-Larche, France",45.16702,2.4201
"1 Rue Du Gouverneur Général Cournarie, 24120 Terrasson-Lavilledieu, France",45.08312,0.7109
"83 Av. Abbé Jean Alvitre, 19100 Brive-La-Gaillarde, France",45.14912,1.5352
"29 Bd Général Koenig, 19100 Brive-La-Gaillarde, France",45.15056,1.535
"24 Bd Brune, 19100 Brive-La-Gaillarde, France",45.14664,1.5332
"13 Rue Du 8 Mai 1945, 19360 Malemort, France",45.33594,1.886
"9 Rue Dr Massenat, 19100 Brive-La-Gaillarde, France",45.15232,1.5312
"13 Rue Saint-Pierre, 17100 Saintes, France",45.73064,-0.6224
"125E Rue Daniel Massiou, 17100 Saintes, France",45.72632,-0.6152
"93 Av. Gambetta, 17100 Saintes, France",45.73272,-0.6169
"9 Cr National, 17100 Saintes, France",45.72712,-0.6212
"16 Quai De La République, 17100 Saintes, France",45.73288,-0.624
"91 Cr National, 17100 Saintes, France",45.72792,-0.6235
"18 Bd Guillet Maillet Bat, 17100 Saintes, France",45.73168,-0.6246
"22 Cr National, 17100 Saintes, France",45.7296,-0.6177
"1 Bis Cr Reverseaux, 17100 Saintes, France",45.72608,-0.6221
"6 Pl. Bassompierre, 17100 Saintes, France",45.73,-0.623
"39 Cr National, 17100 Saintes, France",45.73288,-0.6248
"80 Av. Gambetta, 17100 Saintes, France",45.73232,-0.6246
"28 Cr National, 17100 Saintes, France",45.7288,-0.6158
"135 Rue Daniel Massiou, 17100 Saintes, France",45.73112,-0.6179
"32 Av. Gambetta, 17100 Saintes, France",45.7324,-0.6177
"Rue Daniel Massiou, 17100 Saintes, France",45.732,-0.6159
"48 Rue Marcelin Berthelot, 17100 Saintes, France",45.72992,-0.6239
"42 Bis Cr National, 17100 Saintes, France",45.726,-0.6198
"8 Rue Chanzy, 17480 Le Château-D'Oléron, France",45.75392,-1.0015
"Le, 10 Pl. De La République, 17480 Le Château-D'Oléron, France",45.75232,-1.0035
"8 Pl. De La République, 17480 Le Château-D'Oléron, France",45.7528,-1.0015
"59 Av. De Beaupreau, 17390 La Tremblade, France",45.30288,-0.4015
"25 Rue Georges Clemenceau, 17480 Le Château-D'Oléron, France",45.7524,-0.999
"1 Rés Du Moulin De La Croix, 17550 Dolus-D'Oléron, France",45.99864,-0.6971
"57 Rue De La Halle, 17450 Fouras, France",45.6536,-0.9048
"60 Av. De La Libération, 17220 Croix-Chapeau, France",46.00032,-1.1523
"13 Rue Foran, 17390 La Tremblade, France",45.30152,-0.3973
"12 Rue Du Général Kilmaine, 17430 Tonnay-Charente, France",45.55192,-0.9544
"45 Rte Des Mouettes, 17550 Dolus-D'Oléron, France",45.99864,-0.7017
"11 Rue Cochon Duvivier, 17300 Rochefort, France",45.94632,-0.9838
"1 Rue Du Maréchal Foch, 17320 Marennes, France",45.60368,-0.6953
"Place Colbert, 115 Rue Pierre Loti, 17300 Rochefort, France",45.94976,-0.9763
"37 Bis Av. Charles De Gaulle, 17300 Rochefort, France",45.95112,-0.9848
"23 Rue Audry De Puyravault, 17300 Rochefort, France",45.94848,-0.982
"105 Rte Du Bois Brûle, 17450 Saint-Laurent-De-La-Prée, France",45.65192,-0.8977
"77 Cr Des Fossés, 33210 Langon, France",44.71832,-0.2161
"63 Cr Des Fossés, 33210 Langon, France",44.718,-0.2163
"13 All. Jean Jaurès, 33210 Langon, France",44.72344,-0.2229
"15 All. Jean Jaurès, 33210 Langon, France",44.7164,-0.2175
"42Bis Cr Des Fossés, 33210 Langon, France",44.71832,-0.223
"30 Cr Du Mal De Lattre Tassigny, 33210 Langon, France",44.72024,-0.2245
"14 Rue Des Salières, 33210 Langon, France",44.71776,-0.2195
"1 Pl. Du Général De Gaulle, 33490 Saint-Macaire, France",44.795,-0.8226
"118 Cr Des Fossés, 33210 Langon, France",44.7208,-0.2229
"59 Cr Des Fossés, 33210 Langon, France",44.71816,-0.2234
"Bois De La Mourasse, 33210 Langon, France",44.72192,-0.2238
"29 Cr Des Fossés, 33210 Langon, France",44.71664,-0.216
"1 Rue Des Chênes, 33210 Langon, France",44.7196,-0.2168
"1 All. De Louloumet, 33210 Toulenne, France",44.71872,-0.2199
"4 All. De Tourny, 33490 Saint-Macaire, France",44.78836,-0.8216
"33490 Saint-Macaire, France",44.7898,-0.8186
"1 Rue Lieutenant Rouch, 33550 Le Tourne, France",44.79128,-0.2964
"Rue Ferrand, 33210 Langon, France",44.71832,-0.2169
"10 Pl. De La République, 33540 Sauveterre-De-Guyenne, France",44.78664,-0.3003
"22 Av. Du General De Gaulle, 33720 Virelade, France",44.62272,-1.0663
"12 Cr Du Gén De Gaulle, 33430 Bazas, France",44.79308,-0.8229
"5 Bis Av. Du Général Leclerc, 33430 Bazas, France",44.791,-0.8196
"25 Cr Du Gén De Gaulle, 33430 Bazas, France",44.79348,-0.8258
"24 Rue Fondespan, 33430 Bazas, France",44.79044,-0.8231
"17 Cr Ausone, 33430 Bazas, France",44.79324,-0.8168
"10 Cr Ausone, 33430 Bazas, France",44.79468,-0.8254
"19 Cr Du Gén De Gaulle, 33430 Bazas, France",44.79444,-0.8171
"30 Rue Fondespan, 33430 Bazas, France",44.79428,-0.8243
"56 Chem. De Ladils, 33430 Bazas, France",44.78916,-0.8239
"437 Rue Anne De Tauzia, 33124 Auros, France",44.82776,-0.7624
"90 Bd De Courtais, 03100 Montluçon, France",46.35096,2.6012
"110 Bis, Bd De Courtais, 03100 Montluçon, France",46.34904,2.5951
"59 Ter Bd De Courtais, 03100 Montluçon, France",46.35,2.6036
"68 Bd De Courtais, 03100 Montluçon, France",46.35072,2.5967
"8 Rue Bretonnie, 03100 Montluçon, France",46.34896,2.6017
"9 Pl. Jean Jaurès, 03100 Montluçon, France",46.34712,2.5968
"37 Bd De Courtais, 03100 Montluçon, France",46.34984,2.5956
"5 Bd De Courtais, 03100 Montluçon, France",46.34944,2.5963
"10 Rue De La Presle, 03100 Montluçon, France",46.35272,2.6022
"2 Av. De La République, 03100 Montluçon, France",46.3516,2.6035
"27 Rue Achille Allier, 03100 Montluçon, France",46.34664,2.6022
"6 Rue André Messager, 03410 Domérat, France",46.35184,3.414
"84 Bd De Courtais, 03100 Montluçon, France",46.3536,2.5987
"3 Rue Pasteur, 03310 Néris-Les-Bains, France",46.3024,2.8649
"24 Imp. Castelrive, 31660 Bessières, France",43.52008,1.6022
"74 Bd De Courtais, 03100 Montluçon, France",46.35384,2.5969
"5 Rue Des Amandiers, 03410 Saint-Victor, France",46.34832,3.4192
"4 Rue Desaix, 03100 Montluçon, France",46.3464,2.5977
"72 Avenue John Fitzgerald Kennedy Résid Les Roses, 03100 Montluçon, France",46.3472,2.5953
"55 Av. Albert Thomas, 03100 Montluçon, France",46.34864,2.5956
"18 Pl. Du Marché, 17500 Jonzac, France",45.79896,-0.703
"6 Pl. Du Château, 17500 Jonzac, France",45.8024,-0.7003
"21 Pl. Du Château, 17500 Jonzac, France",45.80024,-0.6985
"17500 Jonzac, France",45.80152,-0.7049
"17500 Saint-Germain-De-Lusignan, France",45.80088,-0.6956
"10 Pl. Des Halles, 17130 Montendre, France",45.57946,-0.8353
"16 Pl. Des Halles, 17130 Montendre, France",45.5861,-0.8339
"16 Pl. Des Tilleuls, 17150 Mirambeau, France",45.85248,-0.9975
"21 Av. De Bordeaux, 17240 Saint-Genis-De-Saintonge, France",45.48706,-0.9637
"2 Pl. Des Tilleuls, 17150 Mirambeau, France",45.85896,-0.9977
"21 Rue Thomas Veillon, 16300 Barbezieux-Saint-Hilaire, France",45.7199,0.2457
"6 Pl. Saint-Pierre, 17260 Gémozac, France",45.74672,-0.8519
"16480 Guizengeard, France",45.8163,0.9964
"1095 Rue Des Bois Durand, 16120 Châteauneuf-Sur-Charente, France",45.58706,0.0334
"103 Av. De La République, 17150 Mirambeau, France",45.85328,-0.9952
"4 Quai De L'Estuaire, 17120 Mortagne-Sur-Gironde, France",45.79832,-1.0523
"20 Rue Pasteur, 17800 Pons, France",45.95384,-0.5836
"3 Rue Du 14 Juillet B, 16100 Cognac, France",45.93514,-0.1466
"7 Rue Neuve Des Remparts, 16100 Cognac, France",45.93314,-0.1512
"136 Rue Des Templiers, 34400 Lunel, France",43.41752,3.553
"145 Bd Lafayette, 34400 Lunel, France",43.42024,3.5525
"172 Chem. De La Vidourlenque, 34400 Lunel, France",43.41888,3.5452
"201 Pl. De La Libération, 34400 Saint-Just, France",43.4224,3.5525
"187 Bd Lafayette, 34400 Lunel, France",43.42312,3.5485
"220 Chem. Du Thym, 34400 Lunel, France",43.42064,3.5509
"Chem. Du Fesc, 34400 Saint-Just, France",43.42152,3.5474
"40 Rdpt Espa. Julius Estève, 34400 Lunel, France",43.42368,3.5525
"994 Av. Des Abrivados, 34400 Lunel, France",43.4184,3.5515
"188 Av. Général De Gaulle, 34400 Lunel, France",43.42184,3.5514
"994 Avenue De L'Abrivade, 34400 Lunel, France",43.4176,3.5477
"Av. Des Abrivados, 34400 Lunel, France",43.42104,3.546
"12 Rue Frédéric Mistral, 34400 Lunel, France",43.41648,3.5465
"2 Quai Voltaire, 34400 Lunel, France",43.42304,3.551
"273 Av. Victor Hugo, 34400 Lunel, France",43.41824,3.5468
"8 Pl. Des Halles, 30660 Gallargues-Le-Montueux, France",43.66576,4.3289
"201 Bd Lafayette, 34400 Lunel, France",43.41912,3.5455
"65 Rue Des Crosasses, 34400 Lunel-Viel, France",43.42168,3.5538
"31 Av. Gambetta, 34400 Lunel, France",43.42392,3.5543
"4 Pl. Romain Videau, 33480 Castelnau-De-Médoc, France",44.91926,-0.9815
"5 Pl. Aristide Briand, 33480 Castelnau-De-Médoc, France",44.9195,-0.9809
"6 Pl. Aristide Briand, 33480 Castelnau-De-Médoc, France",44.91438,-0.985
"Rue Du Château, 33480 Castelnau-De-Médoc, France",44.91742,-0.9784
"Pl. Romain Videau, 33480 Castelnau-De-Médoc, France",44.91758,-0.9796
"1 Bis Av. Pasteur, 33480 Castelnau-De-Médoc, France",44.9167,-0.9872
"Chem. De La Croix De Cujac, 33480 Castelnau-De-Médoc, France",44.91566,-0.9807
"2 All. Jean De La Fontaine, 33320 Le Taillan-Médoc, France",44.73232,-0.6535
"10-12 Rue Des Tastes, 33460 Soussans, France",44.76878,-0.9346
"12 Rue Des Fontaines, 33112 Saint-Laurent-Médoc, France",44.54832,-0.5702
"14 Bis Rue De Landegrand, 33290 Parempuyre, France",44.93016,-0.5522
"4 Rue Victor Hugo, 33480 Castelnau-De-Médoc, France",44.91398,-0.9828
"35 Rue Charles Baudelaire, 33160 Saint-Médard-En-Jalles, France",44.87648,-0.5056
"33480 Moulis-En-Médoc, France",44.9183,-0.9798
"32 Bis Rue Bernard Palissy, 33160 Saint-Médard-En-Jalles, France",44.8784,-0.5107
"4B Rue De La Haille, 33460 Arsac, France",44.76326,-0.9317
"15A Rue Jules Massenet, 33185 Le Haillan, France",44.8464,-0.721
"Rue De La Lande, 33290 Ludon-Médoc, France",44.93176,-0.547
"3 Rte Du Matha, 33460 Margaux-Cantenac, France",44.76798,-0.938
"62 Rue Pierre Lalumière, 33320 Eysines, France",44.73296,-0.6474
"20 Pl. Cornic, 29600 Morlaix, France",48.49616,-3.9792
"Résidence Ilot, Place De La Barrière, Rue Pierre Curie, 29600 Saint-Martin-Des-Champs, France",48.5024,-3.9838
"24 Pl. Charles De Gaulle, 29600 Morlaix, France",48.49768,-3.9843
"6 Rue D'Aiguillon, 29600 Morlaix, France",48.4968,-3.9853
"8 Route De Paris, 29600 Morlaix, France",48.498,-3.9825
"33 Pl. Des Otages, 29600 Morlaix, France",48.4968,-3.9859
"Pl. Du Dossen, 29600 Morlaix, France",48.50112,-3.9794
"7 Bis Quai De Tréguier, 29600 Morlaix, France",48.50056,-3.9877
"13 Pl. Des Otages, 29600 Morlaix, France",48.50352,-3.9796
"4 Rue Du Kelenn, 29660 Carantec, France",48.56734,-4.2482
"6 Rte De Plouvorn, 29600 Saint-Martin-Des-Champs, France",48.50256,-3.9794
"22 Pl. Allende, 29600 Morlaix, France",48.49768,-3.9792
"29 Pl. Cornic, 29600 Morlaix, France",48.50096,-3.9881
"30 Pl. Des Otages, 29600 Morlaix, France",48.50344,-3.9794
"12 Rue De Brest, 29600 Morlaix, France",48.49632,-3.9841
"29250 Saint-Pol-De-Léon, France",47.9504,-4.148
"9 Kermorgant, 29410 Le Cloître-Saint-Thégonnec, France",48.3671,-4.7793
"10 Rue De L'Église, 29400 Landivisiau, France",48.43658,-4.5369
"26 Rue Alsace Lorraine, 29160 Crozon, France",48.30136,-4.5017
"72 Rue Alsace Lorraine, 29160 Crozon, France",48.3012,-4.5032
"48 Bd De La France Libre, 29160 Crozon, France",48.29696,-4.5017
"46 Rue Alsace Lorraine, 29160 Crozon, France",48.29768,-4.5011
"78 Rue Richelieu, 29200 Brest, France",48.41278,-4.4784
"2 Rue Dr Le Noble, 29200 Brest, France",48.42022,-4.4855
"4 Rue Duguay Trouin, 29100 Douarnenez, France",48.39728,-4.6049
"2 Quai De Léon, 29800 Landerneau, France",48.56278,-4.0215
"10Q Rue Kerhuel, 29280 Plouzané, France",47.79608,-3.9994
"18 Bis Rue De Siam, 29200 Brest, France",48.4171,-4.4816
"129 Rue Jean Jaurès, 29200 Brest, France",48.4199,-4.4798
"10 Av. Alain Le Lay, 29900 Concarneau, France",47.86886,-3.9006
"29200 Brest, France",48.41718,-4.487
"Église Saint-Marc, 29200 Brest, France",48.41926,-4.4882
"123 Rue Jean Jaurès, 29200 Brest, France",48.41838,-4.4802
"90 Rue Ernest Hemingway Immeuble Kéréon, 29200 Brest, France",48.41958,-4.4871
"35 Av. Georges Clemenceau, 29200 Brest, France",48.42062,-4.4871
"28 Rue Duguay Trouin, 29100 Douarnenez, France",48.40128,-4.6044
"31 Rue De La Porte, 29200 Brest, France",48.4203,-4.4834
